,Surface Latitude,Surface Longitude,API,Lat Len - Horz Disp,Lat Len - Gross Perf,Year,Depth Total Maximum,Perforation Upper,Perforation Lower,FName_BRISCOE RANCH,FName_BRISCOE RANCH D1,FName_CAGE RANCH,FName_CHITTIM,FName_CYPRESS LANDING,FName_DE WITT,FName_DILWORTH,FName_DOERING RANCH,FName_EAGLEVILLE,FName_GIDDINGS,FName_HAWKVILLE,FName_HAWKVILLE D1,FName_PEARSALL,FName_PILGRIM,FName_PLEASANTON,FName_RED HAWK DIST 1,FName_SACATOSA,FName_SMILEY,FName_SOUTHERN BAY,FName_SUGARKANE,FName_UNNAMED,FName_WILDCAT,PrType_BUXT,PrType_CER,PrType_RCSD,PrType_SAND,PrType_SANDCER,PrType_SANDCERRCCR,PrType_SANDCRRCSD,PrType_SANDRCCR,PrType_SANDRCSD,PrType_SDRCSDCERRCR,FlType_A,FlType_F,FlType_FLUD,FlType_FRAC,FlType_GAFR,FlType_GEL,FlType_KCL,FlType_SLKW,FlType_U,FlType_W,FlType_X-LINKGEL,Proppant Amount,Fluid Amount,Proppant div Fluid,y_true,y_pred,dm,Trt Proppant Type,Trt Fluid Type,Trt N Frac Stages,Date Completion,Liquid,Operator
42255316740000,28.95852,-97.93001,42255316740000,5629.0,4684.0,2010.0,16200.0,11336.0,16020.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4058000.0,4007766.0,1.0125341649188102,0.20090950481382264,0.15282286703586578,0.23934476282004394,SAND,FLUD,1.0,2010-11-22,90582.0,1776 ENERGY OPERATOR
42255316880000,29.108022499999997,-97.83331861100001,42255316880000,3799.0,3185.0,2011.0,12610.0,9281.0,12466.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2220000.0,1810494.0,1.2261846766683568,0.09761132018666266,0.1265524923801422,0.29649401460952673,SAND,FLUD,1.0,2011-03-11,29925.0,EOG RESOURCES INC
42255317040000,28.958462436999998,-97.929979352,42255317040000,3778.0,3488.0,2010.0,14722.0,10896.0,14384.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3014000.0,2976582.0,1.01257079428687,0.21747587030287802,0.17121648788452148,0.21271041405159646,SAND,FLUD,1.0,2010-11-28,73015.0,1776 ENERGY OPERATOR
42255317250000,29.130709411999998,-97.67553928,42255317250000,4644.0,4086.0,2010.0,16085.0,11899.0,15985.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4375000.0,3928918.0,1.113538129327209,0.11366414418763705,0.2496812045574188,1.1966575857488049,SAND,FLUD,14.0,2010-12-15,44704.0,1776 ENERGY OPERATOR
42255317430000,29.120611111,-97.85223611100001,42255317430000,4533.0,3828.0,2011.0,12730.0,8795.0,12623.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3854000.0,2482830.0,1.5522609280538742,0.1899962382445141,0.09068042784929277,0.5227251408388817,SAND,X-LINKGEL,1.0,2011-06-08,70007.0,EOG RESOURCES INC
42255317450000,29.084547221999998,-97.821875,42255317450000,5240.0,4844.0,2011.0,15669.0,10600.0,15444.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4756000.0,3251598.0,1.4626654340419696,0.1690278112733731,0.1835707277059555,0.08603860112145548,SAND,FLUD,1.0,2011-07-19,78811.0,EOG RESOURCES INC
42255317460000,29.087416111,-97.814383056,42255317460000,3056.0,2297.0,2011.0,13318.0,10823.0,13120.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3562000.0,1753752.0,2.031073948882168,0.20086534789272487,0.19578664004802704,0.02528414133138677,SAND,FLUD,1.0,2011-03-24,44411.0,EOG RESOURCES INC
42255317510000,28.990819444,-97.97518333299999,42255317510000,6048.0,5577.0,2012.0,16619.0,10950.0,16527.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5336000.0,2905350.0,1.8366117679453424,0.12733793835247995,0.17469872534275055,0.37192990245509344,SAND,X-LINKGEL,1.0,2012-05-10,68357.0,EOG RESOURCES INC
42255317530000,28.921050495,-97.89719761,42255317530000,5051.0,3488.0,2010.0,16752.0,12532.0,16020.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3600000.0,3308028.0,1.0882616471202784,0.2955664320723891,0.2644369900226593,0.10532130401772306,SAND,FLUD,12.0,2010-12-05,99233.0,1776 ENERGY OPERATOR
42255317580000,29.119131110999998,-97.77979222200001,42255317580000,4625.0,3930.0,2010.0,14235.0,10205.0,14135.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3648000.0,2288034.0,1.5943819016675451,0.11025865523371328,0.1001729741692543,0.0914729192287039,SAND,FLUD,1.0,2010-11-12,41709.0,EOG RESOURCES INC
