borehole,id,CALI,DEPTH,DTCO,DTSM,RHOB,SGR,VOL_ILLITE
F102,3708,9.2397,11036.0,81.6,135.2,2.2218,61.8503,0.10817
F102,3709,9.2588,11036.5,81.6,135.2,2.2134,61.7524,0.109972
F102,3710,9.2778,11037.0,81.6,135.2,2.2168,61.6545,0.112608
F102,3711,9.2969,11037.5,82.4,140.0,2.2201,60.4979,0.111864
F102,3712,9.3159,11038.0,82.4,140.0,2.2234,59.3414,0.11136
F102,3713,9.335,11038.5,82.4,140.0,2.2268,58.1848,0.11088900000000003
F102,3714,9.3217,11039.0,82.4,140.0,2.2268,57.0282,0.110502
F102,3715,9.3083,11039.5,82.4,140.0,2.2268,55.8716,0.110765
F102,3716,9.295,11040.0,82.4,140.0,2.2268,54.7151,0.110409
F102,3717,9.2816,11040.5,82.4,140.0,2.2268,53.5585,0.110059
F102,3718,9.2683,11041.0,82.4,140.0,2.2268,52.4019,0.109716
F102,3719,9.2016,11041.5,82.4,140.0,2.2268,51.2453,0.109317
F102,3720,9.1349,11042.0,82.4,140.0,2.2268,50.0887,0.108925
F102,3721,9.0682,11042.5,82.4,140.0,2.2268,48.9322,0.108541
F102,3722,9.0015,11043.0,81.9369,139.5429,2.2445,48.7364,0.108348
F102,3723,8.9348,11043.5,81.4737,139.0857,2.2623,48.5407,0.110124
F102,3724,8.8681,11044.0,81.0105,138.6286,2.2801,48.345,0.111998
F102,3725,8.8681,11044.5,80.5474,138.1714,2.2843,48.1493,0.113916
F102,3726,8.8681,11045.0,80.0842,137.7143,2.2884,47.9535,0.115947
F102,3727,8.8681,11045.5,79.62100000000002,137.2571,2.2926,47.7578,0.115073
F102,3728,8.8681,11046.0,79.1579,136.8,2.2968,47.5621,0.114224
F102,3729,8.8681,11046.5,78.6947,136.8,2.3009,47.3663,0.113396
F102,3730,8.8014,11047.0,78.2316,136.8,2.3051,47.1706,0.11259
F102,3731,8.7347,11047.5,77.7684,136.8,2.3093,46.9749,0.111806
F102,3732,8.668,11048.0,77.3053,136.8,2.3134,46.708,0.111038
F102,3733,8.6013,11048.5,76.8421,136.8,2.3401,46.4411,0.110538
F102,3734,8.5346,11049.0,76.3789,136.8,2.3668,46.1742,0.111164
F102,3735,8.4679,11049.5,75.9158,136.8,2.3934,45.9073,0.111825
F102,3736,8.4679,11050.0,75.4526,136.8,2.3926,45.6404,0.112077
F102,3737,8.4679,11050.5,74.9895,136.8,2.3918,45.3735,0.112335
F102,3738,8.4679,11051.0,74.5263,136.8,2.3909,45.1066,0.112301
F102,3739,8.4679,11051.5,74.0632,143.2,2.3901,44.8397,0.112268
F102,3740,8.4679,11052.0,73.6,149.6,2.3893,44.5728,0.112236
F102,3741,8.479,11052.5,73.6,149.6,2.3884,44.3059,0.112246
